año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,2.0,2.0,0.0,3.0,0.0,144
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,2.0,3.0,0.0,1.0,0.0,145
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,2.0,4.0,0.0,1.0,0.0,146
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,1.0,2.0,5.0,0.0,2.0,0.0,147
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,2.0,2.0,0.0,0.0,1.0,103721.0,148
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,2,1,2,2.0,2.0,1.0,0.0,3.0,0.0,149
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,2,1.0,2.0,5.0,3.0,1.0,1087343.07,150
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,1.0,1.0,3.0,2.0,631168.39,151
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,1.0,2.0,3.0,1.0,514808.48,152
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,1.0,3.0,2.0,2.0,1242752.24,153
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,1.0,6.0,4.0,1.0,1814891.03,154
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,2.0,4.0,3.0,1.0,896062.92,155
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,2.0,5.0,4.0,1.0,1112126.57,156
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,1.0,2.0,6.0,4.0,5.0,7648719.14,157
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,2.0,1.0,2.0,2.0,1.0,502795.21,158
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,2.0,1.0,2.0,3.0,2.0,664779.63,159
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,2.0,2.0,2.0,3.0,1.0,509500.33,160
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,2.0,2.0,5.0,2.0,1.0,600831.61,161
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,3,3,1,2.0,2.0,5.0,4.0,1.0,1223883.55,162
2024,1,21.0,Puebla,41.0,Cuautlancingo,1,4,7,1,2.0,2.0,5.0,3.0,1.0,994902.11,163
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,2,1.0,2.0,2.0,4.0,1.0,1010294.0,164
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,2,1.0,2.0,4.0,4.0,1.0,1129334.0,165
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,2,2.0,2.0,2.0,4.0,1.0,1258000.0,166
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,2,2.0,2.0,3.0,4.0,2.0,1893320.0,167
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,2,2.0,2.0,6.0,4.0,1.0,853318.0,168
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,1.0,1.0,4.0,1.0,1169716.0,169
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,1.0,2.0,4.0,2.0,2364916.0,170
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,2.0,2.0,4.0,1.0,737256.0,171
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,2.0,3.0,4.0,1.0,1541812.0,172
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,2.0,4.0,4.0,3.0,3920479.0,173
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,2.0,5.0,4.0,2.0,2493000.0,174
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,1.0,2.0,6.0,4.0,1.0,1636639.0,175
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,2.0,1.0,3.0,4.0,1.0,1280556.0,176
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,2.0,1.0,4.0,4.0,1.0,655242.0,177
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,2.0,2.0,1.0,4.0,1.0,1171760.0,178
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,2.0,2.0,3.0,4.0,3.0,3991749.0,179
2024,1,21.0,Puebla,41.0,Cuautlancingo,2,1,2,1,2.0,2.0,4.0,4.0,3.0,4410012.0,180
